Trade_Date,RUN_TYPE,CURRENCY_FLAG,DELIVERY_DATE,DELIVERY_HOUR,DELIVERY_INTERVAL,SYSTEM_LOAD,SMP,SHADOW_PRICE,EA-SYSTEM_LOAD,EA-SMP,EA-SHADOW_PRICE,SEMO-WIND-FORECAST_MW,Eirgrid-WIND,Eirgrid-WIND-FORECAST,Eirgrid_outages_weekly_perc_available_capacity,Eirgrid_outages_weekly_available_capacity,SEMOgenbids_total_daily_supply,SEMOgenbids_supply-below-40euro,SEMOgenbids_supply-below-50euro,SEMOgenbids_supply-below-60euro,SEMOgenbids_supply-below-70euro,SEMOgenbids_supply-below-80euro, avg_monthly_per_halfhour_EP2_SMP, localavgsmpD=7
02/01/2010,EP2,EUR,02/01/10,11,2,4277.12,34.71,34.71,4391.86,33.46,33.45,97.69,83,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,64.804516129,41.4914285714
02/01/2010,EP2,EUR,02/01/10,12,1,4424.38,44.67,44.67,4542.95,44.97,44.97,88.62,71.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,67.4038709677,41.6242857143
02/01/2010,EP2,EUR,02/01/10,12,2,4517.54,50.47,50.47,4643.55,39.01,39.01,91.98,65,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,65.6264516129,43.5328571429
02/01/2010,EP2,EUR,02/01/10,13,1,4628.22,44.67,44.67,4739.95,37.62,37.62,88.39,63,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,67.5509677419,44.7042857143
02/01/2010,EP2,EUR,02/01/10,13,2,4698.23,44.67,44.67,4819.71,37.6,37.6,72.44,73.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,68.4470967742,42.0742857143
02/01/2010,EP2,EUR,02/01/10,14,1,4696.3,44.29,44.29,4841.76,37.29,37.29,59.44,61,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,64.3864516129,41.6485714286
02/01/2010,EP2,EUR,02/01/10,14,2,4640.96,40.92,40.92,4805.08,37.27,37.27,63.76,67,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,60.3822580645,39.6314285714
02/01/2010,EP2,EUR,02/01/10,15,1,4605.15,40.92,40.92,4775.39,37.24,37.24,66.05,81,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,61.5648387097,38.8671428571
02/01/2010,EP2,EUR,02/01/10,15,2,4560.42,37.6,37.6,4752.91,37.24,37.24,87.28,87,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,61.7516129032,37.4557142857
02/01/2010,EP2,EUR,02/01/10,16,1,4554.91,37.6,37.6,4751.61,33.46,33.45,122.7,111.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,65.4016129032,38.6571428571
02/01/2010,EP2,EUR,02/01/10,16,2,4607.79,35.33,35.33,4825.28,31.52,31.52,121.96,118.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,63.4751612903,37.4628571429
02/01/2010,EP2,EUR,02/01/10,17,1,4813.78,50.26,50.26,5012.32,39.74,39.74,128.59,162,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,66.4277419355,43.2128571429
